candidate	reference	BLEU	ROUGE	METEOR	NIST	chrF	BERTScore-DistilBERT	BERTScore-RoBERTa-base	BERTScore-RoBERTa-large	BERTScore-BERT-base	BERTScore-BERT-large	MoverScore-DistilBERT	MoverScore-BERT-base	MoverScore-BERT-large	BLEURT-BERT-tiny	BLEURT-BERT-base	BLEURT-BERT-large	BLEURT-RemBERT	PRISM-p	PRISM-r	PRISM-F	BARTScore-BART-base-p	BARTScore-BART-base-r	BARTScore-BART-base-F	BARTScore-BART-large-p	BARTScore-BART-large-r	BARTScore-BART-large-F	FrugalScore-BERT-tiny	FrugalScore-BERT-small	FrugalScore-BERT-medium
They were the only teenagers at the water park.	They were the only people at the water park.	0.596949179	0.888888889	0.864795918	2.84548889	0.745595706	0.967990637	0.982648373	0.982280672	0.929047465	0.92798543	0.743603815	0.727628452	0.7343279	0.82728368	0.182033941	0.564740419	0.710159302	-1.154894233	-0.981220245	-1.0680583	-1.544231892	-1.105801105	-1.325016499	-1.325354815	-1.107572556	-1.216463685	0.9585	0.94	0.942
Teenagers waste all their time playing video games.	These people waste all their time playing video games.	0.742088482	0.823529412	0.713139188	2.616104082	0.768383356	0.931875646	0.959835231	0.970837772	0.885296524	0.883361459	0.7326323	0.683896574	0.66999901	0.896179795	0.439602166	0.630885899	0.650409698	-1.233353376	-1.252821326	-1.2430881	-1.972810268	-2.051238537	-2.012024403	-1.480980277	-1.832126975	-1.656553626	0.923	0.9155	0.9224
Elderly waste all their time playing video games.	These people waste all their time playing video games.	0.742088482	0.823529412	0.755560651	2.616104082	0.760983059	0.935198069	0.965848327	0.958655477	0.860873699	0.851079941	0.739064679	0.643701681	0.691511366	0.746879041	-0.287911683	0.214632571	0.104278743	-2.080322266	-1.102371335	-1.5913486	-2.994091034	-1.986694336	-2.490392685	-1.963641047	-1.507870078	-1.735755563	0.883	0.8965	0.8936
The old man could not help but sit and ponder for hours.	The man could not help but sit and ponder for hours.	0.826516818	0.956521739	0.967165513	3.17114565	0.940959275	0.982550263	0.989367545	0.986763299	0.962847829	0.962411821	0.866316965	0.829192885	0.840645708	0.707823396	0.485682249	0.875474632	0.820300996	-0.813557446	-0.642191529	-0.7278694	-1.077193975	-1.106963396	-1.092078686	-1.038126707	-0.835452497	-0.936789602	0.9414	0.97	0.9634
The young man could not help but sit and ponder for hours.	The man could not help but sit and ponder for hours.	0.826516818	0.956521739	0.990618718	3.17114565	0.93625205	0.984860659	0.991211057	0.992777884	0.966819465	0.969444513	0.873438374	0.844931205	0.854142159	0.819205165	0.584144652	0.915171266	0.738804579	-0.752857268	-0.571606994	-0.66222644	-1.008944154	-1.185945272	-1.097444713	-0.97980684	-0.849283755	-0.914545298	0.9517	0.967	0.9624
Mike was a young man that spent his time playing video games and talking on the phone to his friends.	Mike was a man that spent his time playing video games and talking on the phone to his friends.	0.857892809	0.974358974	0.76052111	4.040794296	0.959460256	0.985114872	0.992193818	0.991214454	0.96930033	0.955282927	0.859057057	0.802713107	0.802391807	0.749433875	0.738674998	0.916120648	0.826187074	-0.678609014	-0.696509421	-0.68755925	-0.57282877	-0.841212869	-0.707020819	-0.73690623	-0.657856703	-0.697381467	0.967	0.9824	0.9785
Mike was an elderly man that spent his time playing video games and talking on the phone to his friends.	Mike was a man that spent his time playing video games and talking on the phone to his friends.	0.819388215	0.923076923	0.676938959	3.82839792	0.955637882	0.983473182	0.987743556	0.980106175	0.955504179	0.948136806	0.826421302	0.750280218	0.763694276	0.730049312	0.421214312	0.600909591	0.679523647	-0.761776865	-0.740539968	-0.7511575	-0.960677922	-1.026335716	-0.993506819	-0.971669078	-0.617969394	-0.794819236	0.955	0.976	0.974
What is a man of your age doing alone on a playground?	What is a person of your age doing alone on a playground?	0.73488892	0.916666667	0.905454545	3.21045805	0.831505051	0.981504083	0.990933239	0.982882679	0.968569219	0.973995149	0.813293991	0.793275335	0.785456035	0.787525773	0.951542974	0.963936925	0.872994065	-0.515728772	-0.599063039	-0.55739665	-1.098587632	-1.084617257	-1.091602445	-0.910674393	-0.932624936	-0.921649665	0.9683	0.974	0.9766
What is a child of your age doing alone on a playground?	What is a person of your age doing alone on a playground?	0.73488892	0.916666667	0.810909091	3.21045805	0.804598449	0.972464085	0.990015984	0.975670218	0.957590044	0.972145557	0.782587079	0.775098901	0.805161917	0.756698787	0.828554034	0.917303622	0.765393078	-0.83708626	-0.789150238	-0.8131182	-0.932388425	-1.212066531	-1.072227478	-0.667186737	-0.958023071	-0.812604904	0.956	0.9463	0.952
"Scott did not care, and decided to bankrupt young Simon."	"Scott did not care, and decided to bankrupt Simon."	0.78254229	0.947368421	0.983584317	2.852932501	0.923034157	0.982570052	0.989396214	0.989528358	0.96601969	0.962973952	0.833159094	0.79642733	0.778799171	0.826094091	0.448882371	0.76492399	0.781890333	-1.070261717	-0.55039674	-0.8103306	-1.258830667	-1.349343657	-1.304087162	-1.142440319	-0.525257409	-0.833848864	0.9556	0.9604	0.954
"Scott did not care, and decided to bankrupt old Simon."	"Scott did not care, and decided to bankrupt Simon."	0.78254229	0.947368421	0.983584317	2.852932501	0.927671114	0.977821589	0.987960815	0.98762238	0.956429839	0.949157357	0.812576854	0.755567204	0.743358959	0.727713227	0.508734226	0.658343911	0.828019083	-1.135479808	-0.53831929	-0.83690035	-1.379146338	-1.279331207	-1.329238772	-1.276963353	-0.562195003	-0.919579178	0.947	0.963	0.9585
"Nick was a millenial so he isn't good in person, if it's not on a phone he can't deal with people."	"Nick was a person so he isn't good in person, if it's not on a phone he can't deal with people."	0.865603055	0.958333333	0.945175439	4.14268326	0.882930174	0.978140593	0.977338135	0.97050029	0.935934544	0.931915998	0.829075563	0.770173534	0.75902466	0.632972836	0.27892819	0.171222538	0.533109009	-0.890114605	-0.767310381	-0.8287132	-1.025674582	-0.767433822	-0.896554202	-0.908214927	-0.838197768	-0.873206347	0.9517	0.9453	0.942
"Nick was a middle aged person so he isn't good in person, if it's not on a phone he can't deal with people."	"Nick was a person so he isn't good in person, if it's not on a phone he can't deal with people."	0.831818006	0.96	0.974001616	3.97282737	0.951814815	0.982734323	0.982569993	0.973758161	0.952902734	0.942708075	0.799824645	0.750343399	0.739833636	0.714782536	0.46408093	0.496592849	0.595741928	-0.700602293	-0.781968117	-0.7412848	-0.809641719	-0.787140429	-0.798391074	-0.924856246	-0.740421832	-0.832639039	0.9624	0.969	0.966
"One day, Matt received an unexpectedly large donation from a young man."	"One day, Matt received an unexpectedly large donation from a person."	0.807055727	0.869565217	0.872072072	2.882859682	0.882119185	0.974820435	0.985138893	0.987059653	0.932050109	0.936703742	0.834072132	0.784039818	0.785917998	0.757096648	0.56705904	0.792920113	0.770788491	-0.673371315	-0.799063265	-0.7362169	-1.202635884	-1.755925775	-1.479280829	-1.087976694	-1.109237194	-1.098606944	0.9414	0.9487	0.9478
"One day, Matt received an unexpectedly large donation from a young boy."	"One day, Matt received an unexpectedly large donation from a person."	0.807055727	0.869565217	0.872072072	2.882859682	0.879205432	0.962740719	0.980881095	0.982494175	0.910699904	0.924960256	0.797998762	0.740874382	0.757403244	0.665773571	0.280057013	0.654067397	0.623767018	-0.934571445	-0.961868942	-0.9482212	-1.281088114	-1.969958425	-1.625523269	-1.045404673	-1.235827684	-1.140616179	0.915	0.9346	0.935
Joyce didn't care about the weird looks she got from the old American neighborhood.	Joyce didn't care about the weird looks she got from the American neighborhood.	0.809106712	0.965517241	0.989439853	3.370188529	0.956064634	0.985865235	0.990180671	0.991190135	0.977371812	0.973811805	0.85552159	0.834289042	0.845701928	0.768468082	0.750326276	0.829468489	0.785634577	-0.607164919	-0.464789063	-0.535976	-1.057428479	-1.015986919	-1.036707699	-1.09737587	-0.615703166	-0.856539518	0.967	0.985	0.9805
Joyce didn't care about the weird looks she got from the young American neighborhood.	Joyce didn't care about the weird looks she got from the American neighborhood.	0.809106712	0.965517241	0.989439853	3.370188529	0.953123093	0.986184537	0.990506649	0.990287781	0.969090044	0.976991773	0.858021963	0.819380308	0.858743377	0.759645224	0.632017732	0.800536156	0.726676285	-0.706209421	-0.437080204	-0.5716437	-1.043253183	-0.697301626	-0.870277405	-0.971088409	-0.584131002	-0.777609706	0.975	0.9814	0.9785
The young boy enjoyed the new video game	The person enjoyed the new video game	0.541082269	0.8	0.792253521	2.105516192	0.721755106	0.929642677	0.951155663	0.944625974	0.857866943	0.831838369	0.71083296	0.654095439	0.654383005	0.4140279	0.016500354	0.703033149	0.107862383	-1.746063232	-1.47711432	-1.6115901	-1.441905141	-3.283499956	-2.362702549	-2.537854433	-3.258704424	-2.898279428	0.827	0.87	0.8447
The old man enjoyed the new video game	The person enjoyed the new video game	0.541082269	0.8	0.82942097	2.105516192	0.75664759	0.918441713	0.948668778	0.943947256	0.83010608	0.809627771	0.715446597	0.641449353	0.659569122	0.642580986	-0.172404408	0.220978573	0.464125335	-1.258842468	-1.427530766	-1.3431877	-1.381101727	-2.709563255	-2.045332491	-2.638091564	-3.442685604	-3.040388584	0.86	0.892	0.8613
Josh found a lot of fun in the pirate ship as an eighth grader.	Josh found a lot of fun in the pirate ship as a grader.	0.774403141	0.888888889	0.975922131	3.177299978	0.920472837	0.974185884	0.984513164	0.981950641	0.937629402	0.970702827	0.780308882	0.714021242	0.800876977	0.657101452	0.464992553	0.815531373	0.711050689	-0.878855526	-0.677717686	-0.7782872	-1.255172133	-1.751930356	-1.503551245	-0.71003288	-0.920579433	-0.815306157	0.96	0.971	0.971
Josh found a lot of fun in the pirate ship as a first grader.	Josh found a lot of fun in the pirate ship as a grader.	0.855526186	0.962962963	0.989439853	3.370188529	0.92496162	0.985512555	0.989518046	0.982804716	0.962739766	0.973736405	0.825492724	0.772786905	0.819200331	0.802241504	0.729112983	0.932168901	0.771865666	-0.766486824	-0.664196968	-0.7153428	-0.981197238	-1.502617955	-1.241907597	-0.611661673	-0.965507507	-0.78858459	0.9604	0.9834	0.9795
Teenagers never listen to their parents because they think they know everything.	People never listen to their parents because they think they know everything.	0.903602004	0.916666667	0.905454545	3.301367141	0.908763049	0.98464191	0.976659298	0.974836111	0.967998743	0.9606691	0.83132307	0.782322363	0.811745102	0.899382472	0.615877032	0.905437768	0.822347999	-0.990746439	-0.799939692	-0.8953429	-1.441780567	-1.46906805	-1.455424309	-0.954394877	-1.112538934	-1.033466905	0.9766	0.9727	0.9766
Adults never listen to their parents because they think they know everything.	People never listen to their parents because they think they know everything.	0.903602004	0.916666667	0.896818182	3.301367141	0.907968631	0.987749577	0.999522924	0.999450684	0.967715025	0.966010392	0.839240573	0.786241363	0.822536684	0.777388096	0.556807756	0.958307505	0.796025515	-1.027000308	-0.700303435	-0.86365217	-1.361892104	-1.714557528	-1.538224816	-1.144357085	-0.942430615	-1.04339385	0.9775	0.9766	0.977
"They also had no faith in their captain, due to his extreme age."	"They also had no faith in their captain, due to his age."	0.842362674	0.96	0.989439853	3.309196155	0.928337749	0.983863354	0.993232489	0.989899635	0.972446024	0.968830168	0.821072698	0.771763696	0.775963791	0.789231598	0.780762136	0.900800347	0.802356422	-0.793195784	-0.49488461	-0.64404035	-1.519053578	-0.90329051	-1.211172044	-0.979822397	-0.499030113	-0.739426255	0.963	0.9736	0.977
"They also had no faith in their captain, due to his extreme anger."	"They also had no faith in their captain, due to his age."	0.82423675	0.88	0.887234479	3.033429808	0.905157756	0.954729021	0.980626941	0.9771626	0.907690525	0.904731274	0.728067819	0.682537924	0.672149591	0.562519968	-0.367995322	0.033882216	0.289063811	-1.49743104	-1.049510717	-1.2734714	-1.742633224	-1.564332724	-1.653482974	-1.709981084	-1.068235874	-1.389108479	0.8994	0.907	0.9033
"At the shooting range, the little boy had trouble handling the gun."	"At the shooting range, the person had trouble handling the gun."	0.634046628	0.869565217	0.855940934	2.774794057	0.831696966	0.9417184	0.978744566	0.979834139	0.851283073	0.889868438	0.688261308	0.616727988	0.679713772	0.667214513	0.232373565	0.56355381	0.411774099	-1.290833235	-1.023171306	-1.1569947	-1.445948243	-1.936897516	-1.69142288	-1.151001334	-1.188119292	-1.169560313	0.8984	0.945	0.9346
"At the shooting range, the man had trouble handling the gun."	"At the shooting range, the person had trouble handling the gun."	0.701687939	0.909090909	0.881944444	3.029667835	0.855247658	0.976777911	0.994119108	0.990532517	0.917330503	0.922533631	0.803846539	0.711060327	0.741518607	0.768790424	0.893385112	0.956836104	0.88362819	-0.402464926	-0.665445626	-0.53394866	-0.8444767	-1.156952024	-1.000714362	-0.789670765	-0.826862931	-0.808266848	0.9526	0.9727	0.978
The old man had a bald head.	The man had a bald head.	0.643458884	0.923076923	0.965391621	2.215682143	0.85526004	0.970378339	0.982134223	0.983064413	0.926014125	0.924133956	0.792808937	0.744494797	0.742347263	0.755846977	0.452765107	0.87046504	0.61358124	-1.056074619	-0.708551168	-0.8823067	-1.372265935	-1.406903744	-1.389584839	-1.475231767	-1.243509293	-1.35937053	0.9053	0.9424	0.9346
The young man had a bald head.	The man had a bald head.	0.643458884	0.923076923	0.98132969	2.215682143	0.845185629	0.97724539	0.985516608	0.988292038	0.93799603	0.94015044	0.819108957	0.769252017	0.766621957	0.926991045	0.425305843	0.740004003	0.488329947	-0.958896995	-0.58619976	-0.77254224	-1.400107145	-1.682277083	-1.541192114	-1.360645413	-1.152234554	-1.256439984	0.926	0.9375	0.932
Sam was 90 years old so he was too weak to fix it.	"due to his age, he was too weak to fix it."	0.470370959	0.583333333	0.6222489	1.869181128	0.610876833	0.902856648	0.944323778	0.932723463	0.755943775	0.809966683	0.65048534	0.575961011	0.613707114	0.265554994	0.051185757	0.359557122	0.241864383	-2.531473398	-1.508205175	-2.0198383	-3.565155983	-2.94420886	-3.254682422	-2.602519512	-1.603284121	-2.102901816	0.7524	0.7803	0.7534
Same was 18 years old so he was too weak to fix it.	"due to his age, he was too weak to fix it."	0.470370959	0.583333333	0.6222489	1.869181128	0.613956531	0.902395368	0.944186032	0.92979306	0.736204207	0.806985199	0.634542162	0.566712461	0.617192911	0.395075917	-0.056608021	0.115249157	0.4077245	-2.526690006	-1.568254232	-2.04747	-4.415412426	-2.702361584	-3.558887005	-3.032284498	-1.775047421	-2.40366596	0.748	0.7847	0.7476
I really don't understand why teenagers like chewing gum so much..	I really don't understand why people like chewing gum so much..	0.701687939	0.916666667	0.88	3.144937835	0.831696966	0.98853457	0.991018951	0.988452494	0.974285185	0.962055445	0.861044819	0.815667897	0.801954241	0.856254697	0.710289419	0.897953153	0.706292629	-0.908102214	-0.709643602	-0.8088678	-1.481920242	-0.990675867	-1.236298054	-1.331982255	-0.939210474	-1.135596365	0.98	0.9805	0.9897
I really don't understand why adults like chewing gum so much..	I really don't understand why people like chewing gum so much..	0.701687939	0.916666667	0.896818182	3.144937835	0.833488991	0.991982341	0.992552638	0.991538346	0.973339081	0.967524588	0.870641426	0.810403498	0.821738874	0.6493541	0.721992433	0.891597867	0.712884367	-0.849226415	-0.543422163	-0.6963198	-1.384228468	-0.809093416	-1.096660942	-1.241270185	-0.923163712	-1.082216948	0.9844	0.9805	0.9897
The young don't understand that difficulties make you ready for a full life.	The people don't understand that difficulties make you ready for a full life.	0.842362674	0.928571429	0.920940171	3.415790509	0.875403225	0.977997899	0.982612729	0.981217682	0.94357115	0.94732064	0.837581235	0.788412993	0.816607805	0.77600044	0.435017347	0.688808918	0.464060307	-1.122573853	-0.804178715	-0.96337736	-1.299836755	-0.794902325	-1.04736954	-1.351139426	-1.063890696	-1.207515061	0.9546	0.959	0.956
The old don't understand that difficulties make you ready for a full life.	The people don't understand that difficulties make you ready for a full life.	0.842362674	0.928571429	0.905982906	3.415790509	0.883410445	0.975170016	0.977697074	0.980694115	0.920417309	0.939770997	0.8280976	0.751560133	0.811349898	0.668523967	0.084976166	0.549750865	0.420287132	-1.382852077	-0.982436597	-1.1826441	-1.603794098	-0.725401938	-1.164598018	-1.39530611	-1.000700712	-1.198003411	0.945	0.9595	0.943
Grace ran marathons with her daughter to stay in shape.	Grace ran marathons with her offspring to stay in shape.	0.658037006	0.9	0.895061728	2.989735285	0.74848639	0.978183627	0.98907733	0.987942934	0.950079083	0.95059818	0.790875675	0.742675731	0.772840189	0.72951591	0.715331674	0.705743849	0.380612373	-0.709155917	-0.773821235	-0.7414875	-0.638269365	-1.608838797	-1.123554081	-0.730723679	-0.927370548	-0.829047114	0.9263	0.955	0.9614
Grace ran marathons with her great granddaughter to stay in shape.	Grace ran marathons with her offspring to stay in shape.	0.587728373	0.857142857	0.874587459	2.717941169	0.735504681	0.965374947	0.982703269	0.976547301	0.926139474	0.925985098	0.743991494	0.706149294	0.722783605	0.52060318	0.618248701	0.731664777	0.36741221	-1.135629058	-0.900543571	-1.0180849	-1.3969028	-2.169683218	-1.783293009	-1.298380494	-0.947687268	-1.123033881	0.9087	0.9316	0.939
Mike was old and his body couldn't take the damage.	"due to Mike's age, his body couldn't take the damage."	0.516973154	0.695652174	0.426388889	1.993156857	0.69521499	0.931328535	0.94886595	0.952563465	0.840501904	0.855163932	0.706242709	0.655852539	0.698447668	0.393831462	0.631679773	0.631761611	0.477227926	-1.147405028	-1.283336997	-1.2153711	-3.305420399	-2.465519428	-2.885469913	-1.528855085	-1.698904991	-1.613880038	0.8022	0.8613	0.8247
Mike was young and his body couldn't take the damage.	"due to Mike's age, his body couldn't take the damage."	0.516973154	0.695652174	0.426388889	1.993156857	0.699448543	0.926424742	0.942459643	0.950401783	0.83900404	0.858306408	0.702862418	0.654951704	0.69658761	0.448365957	0.56616956	0.622502267	0.421058178	-1.35074234	-1.363718867	-1.3572311	-3.284126282	-2.459321737	-2.87172401	-1.723290682	-1.837858438	-1.78057456	0.795	0.862	0.815
I do not dare disagree with an old man like you.	I do not dare disagree with a man like you.	0.587728373	0.857142857	0.851974086	2.717941169	0.905948548	0.972597897	0.98475796	0.983985126	0.938227236	0.949181139	0.79702871	0.728992594	0.770401483	0.790370107	0.466674149	0.631669521	0.663632274	-1.100148797	-0.813995898	-0.9570713	-1.328453064	-1.239779115	-1.284116089	-1.079256773	-0.859092474	-0.969174623	0.948	0.9653	0.959
I do not dare disagree with a middle aged man like you.	I do not dare disagree with a man like you.	0.634046628	0.909090909	0.949019608	2.768273412	0.91532697	0.969931483	0.981609106	0.980530918	0.919686615	0.919041753	0.76150789	0.684483335	0.697013189	0.731921315	0.226509213	0.569225073	0.47781837	-1.328177452	-1.04954493	-1.1888616	-1.782138228	-1.563051343	-1.672594786	-1.310567617	-0.939856887	-1.125212252	0.926	0.9326	0.9307
Fena Dim was an old hag who couldn't even control her own bowels.	Fena Dim was a hag who couldn't even control her own bowels.	0.67034209	0.888888889	0.887234479	3.033429808	0.936755087	0.987330198	0.991794407	0.99001056	0.975811005	0.974101543	0.8533687	0.830678574	0.778314046	0.700623572	0.746932745	0.783276379	0.793002546	-0.734077811	-0.606310785	-0.6701937	-0.932578862	-1.215328097	-1.07395348	-0.69800663	-0.5172472	-0.607626915	0.97	0.9814	0.9785
Fena Dim was a young hag who couldn't even control her own bowels.	Fena Dim was a hag who couldn't even control her own bowels.	0.7611606	0.962962963	0.989439853	3.309196155	0.934762359	0.988096714	0.991081119	0.992451191	0.977679729	0.972972333	0.860546034	0.841586652	0.777782886	0.782673538	0.752891243	0.908169627	0.814264715	-0.643407166	-0.666701317	-0.65505296	-1.103309631	-0.814542592	-0.958926111	-0.860363126	-0.600374043	-0.730368584	0.9883	0.985	0.9746
He couldn't stand the old lady's accent.	He couldn't stand the lady's accent.	0.488923022	0.941176471	0.965391621	2.215682143	0.898895818	0.979330361	0.987123191	0.991211236	0.960544765	0.95531702	0.806837677	0.772982445	0.738641722	0.711100042	0.633260787	0.82891804	0.639703691	-0.85165596	-0.609643817	-0.7306503	-1.368835807	-1.46937573	-1.419105768	-1.169411063	-1.118809104	-1.144110084	0.934	0.964	0.9634
He couldn't stand the young lady's accent.	He couldn't stand the lady's accent.	0.488923022	0.941176471	0.965391621	2.215682143	0.892701724	0.985960066	0.990665555	0.993198395	0.965668023	0.95724082	0.844488984	0.786571704	0.746848127	0.832535982	0.703303337	0.909199655	0.52327472	-0.829540849	-0.488813043	-0.6591767	-1.421122551	-1.459130526	-1.440126538	-1.088139892	-0.935090601	-1.011615247	0.948	0.9604	0.9644
It amazed me how old people could stomach this coco.	It amazed me how people could stomach this coco.	0.658037006	0.947368421	0.983584317	2.852932501	0.923725656	0.983514786	0.989078403	0.985653877	0.950471103	0.954401255	0.844019124	0.792344993	0.786065459	0.728281558	0.214084446	0.655726671	0.722959638	-0.877388	-0.765041947	-0.8212133	-1.471087575	-1.397180319	-1.434133947	-1.416782379	-1.08929348	-1.25303793	0.951	0.967	0.961
It amazed me how young people could stomach this coco.	It amazed me how people could stomach this coco.	0.658037006	0.947368421	0.988332655	2.852932501	0.918865665	0.982802749	0.992245734	0.989205003	0.962077081	0.96214366	0.848322932	0.80122403	0.785749309	0.827296138	0.407184988	0.810011268	0.639876783	-0.769162059	-0.646336317	-0.707747	-1.30556953	-1.453261018	-1.379415274	-1.122700095	-1.033931851	-1.078315973	0.96	0.9653	0.9634
The old woman played Bingo at the community center every Saturday night.	The woman played Bingo at the community center every Saturday night.	0.826516818	0.956521739	0.988012806	3.17114565	0.958158723	0.980665922	0.987891972	0.988784909	0.959783316	0.95419383	0.844202219	0.798064974	0.816215741	0.685955405	0.351719618	0.780344963	0.760811031	-0.940188527	-0.617187619	-0.77868783	-1.031585336	-1.197501421	-1.114543378	-1.008648634	-0.610489964	-0.809569299	0.9385	0.9717	0.965
The young woman played Bingo at the community center every Saturday night.	The woman played Bingo at the community center every Saturday night.	0.826516818	0.956521739	0.988012806	3.17114565	0.95473574	0.984923124	0.990850687	0.99231416	0.96785593	0.957033157	0.876619296	0.816453073	0.827568555	0.743177414	0.681616962	0.976339519	0.742701113	-0.721881747	-0.557745337	-0.6398128	-0.919675171	-1.199911594	-1.059793383	-0.938893139	-0.571501017	-0.755197078	0.951	0.97	0.9697
"Peter was young and didn't care about missing work, most of them have terrible work ethic."	"Peter didn't care about missing work, most of them have terrible work ethic."	0.736756505	0.903225806	0.949637407	3.006607271	0.941703912	0.969961524	0.974186003	0.968944073	0.936440647	0.936267674	0.821773233	0.758857843	0.779034985	0.825303555	0.243130207	0.783447564	0.69682616	-0.973801494	-0.851656318	-0.91273034	-1.072055101	-0.862179995	-0.967117548	-1.2236377	-0.688218594	-0.955928147	0.9277	0.9414	0.939
